1X2 ESITO FINALE <> 1,1X2 <> 1
1X2 ESITO FINALE <> 2,1X2 <> 2
1X2 ESITO FINALE <> X,1X2 <> X
U/O 0.5 <> OVER,U/O 0.5 <> OVER 0.5
U/O 1.5 <> OVER,U/O 1.5 <> OVER 1.5
U/O 2.5 <> OVER,U/O 2.5 <> OVER 2.5
U/O 3.5 <> OVER,U/O 3.5 <> OVER 3.5
U/O 4.5 <> OVER,U/O 4.5 <> OVER 4.5
U/O 5.5 <> OVER,U/O 5.5 <> OVER 5.5
U/O 0.5 <> UNDER,U/O 0.5 <> UNDER 0.5
U/O 1.5 <> UNDER,U/O 1.5 <> UNDER 1.5
U/O 2.5 <> UNDER,U/O 2.5 <> UNDER 2.5
U/O 3.5 <> UNDER,U/O 3.5 <> UNDER 3.5
U/O 4.5 <> UNDER,U/O 4.5 <> UNDER 4.5
U/O 5.5 <> UNDER,U/O 5.5 <> UNDER 5.5
GOAL/NOGOAL <> GOAL,GOAL/NOGOAL <> GOAL
GOAL/NOGOAL <> NOGOAL,GOAL/NOGOAL <> NOGOAL
DOPPIA CHANCE <> 1X,DOPPIA CHANCE IN <> 1X
DOPPIA CHANCE <> 12,DOPPIA CHANCE IN/OUT <> 12
DOPPIA CHANCE <> X2,DOPPIA CHANCE OUT <> X2